epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,65212.7,1.03114,1.03911,1.13365,0.688,0.56353,0.61436,0.44677,1.01785,0.99222,1.09164,0.0005941,0.0005941,0.0005941
43,66780.5,1.03084,1.03506,1.13312,0.68461,0.56478,0.61396,0.44639,1.01772,0.99091,1.09116,0.0005842,0.0005842,0.0005842
44,68380.6,1.02923,1.03102,1.1318,0.68961,0.56247,0.6144,0.44633,1.01795,0.9908,1.09069,0.0005743,0.0005743,0.0005743
45,70011.3,1.02744,1.02831,1.13093,0.68976,0.56365,0.61459,0.44646,1.018,0.99071,1.0909,0.0005644,0.0005644,0.0005644
46,71638.5,1.02534,1.02319,1.12962,0.68123,0.57036,0.61506,0.44696,1.01809,0.99016,1.09074,0.0005545,0.0005545,0.0005545
47,73248.4,1.02543,1.02022,1.12964,0.68343,0.56908,0.6155,0.44756,1.01777,0.98932,1.09067,0.0005446,0.0005446,0.0005446
48,74836.8,1.0229,1.01758,1.12799,0.68341,0.56852,0.61588,0.44809,1.01753,0.98875,1.09062,0.0005347,0.0005347,0.0005347
49,76320.1,1.02163,1.01412,1.12772,0.6872,0.56533,0.61617,0.44828,1.01788,0.98844,1.09091,0.0005248,0.0005248,0.0005248
50,77918.5,1.01942,1.01002,1.12583,0.69067,0.56261,0.61639,0.44823,1.01765,0.98827,1.09089,0.0005149,0.0005149,0.0005149
51,79486.1,1.01757,1.00534,1.12492,0.68769,0.56601,0.61679,0.4484,1.01729,0.9879,1.09069,0.000505,0.000505,0.000505
52,81035.7,1.01556,1.00344,1.12399,0.68788,0.56504,0.61676,0.44823,1.01692,0.98804,1.09053,0.0004951,0.0004951,0.0004951
53,82606.4,1.01477,0.99989,1.12298,0.6907,0.56404,0.6171,0.44843,1.01685,0.98753,1.09039,0.0004852,0.0004852,0.0004852
54,84179.9,1.01592,0.9996,1.1232,0.68638,0.56905,0.61684,0.4483,1.01657,0.98758,1.09017,0.0004753,0.0004753,0.0004753
55,85750.8,1.01238,0.99368,1.12066,0.69043,0.56843,0.61749,0.44837,1.0165,0.98724,1.09014,0.0004654,0.0004654,0.0004654
56,87329.7,1.00987,0.99,1.1199,0.69241,0.56892,0.61784,0.44866,1.01646,0.98662,1.09002,0.0004555,0.0004555,0.0004555
