epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5251.43,1.02744,0.98906,1.224,0.83672,0.72256,0.81538,0.57738,1.04793,0.85308,1.21442,0.0005941,0.0005941,0.0005941
43,5368.52,1.02197,0.97572,1.21533,0.83329,0.73225,0.81674,0.57497,1.04932,0.84818,1.21373,0.0005842,0.0005842,0.0005842
44,5487.33,1.01984,0.9672,1.20953,0.82507,0.74148,0.82053,0.57936,1.05009,0.84706,1.21585,0.0005743,0.0005743,0.0005743
45,5606.49,1.00753,0.9513,1.20625,0.82495,0.73566,0.81763,0.57931,1.03877,0.84402,1.20513,0.0005644,0.0005644,0.0005644
46,5736.87,1.00663,0.95639,1.2067,0.83287,0.73576,0.82169,0.58408,1.0402,0.83686,1.20965,0.0005545,0.0005545,0.0005545
47,5891.57,1.00617,0.94604,1.20808,0.84732,0.72794,0.82411,0.58921,1.03464,0.83106,1.20818,0.0005446,0.0005446,0.0005446
48,6020.47,1.00697,0.94438,1.20174,0.81837,0.75657,0.82495,0.58584,1.03397,0.82778,1.20526,0.0005347,0.0005347,0.0005347
49,6135.83,0.9952,0.9361,1.20067,0.83128,0.74454,0.82178,0.58597,1.03796,0.82573,1.20643,0.0005248,0.0005248,0.0005248
50,6254.32,0.99178,0.9258,1.19888,0.8198,0.7466,0.82152,0.58885,1.03074,0.82262,1.20308,0.0005149,0.0005149,0.0005149
51,6372.89,0.98789,0.92855,1.19605,0.81256,0.75708,0.82352,0.59029,1.02583,0.82101,1.19527,0.000505,0.000505,0.000505
52,6531.55,0.9886,0.92094,1.19495,0.82864,0.74513,0.82577,0.59398,1.024,0.81589,1.19826,0.0004951,0.0004951,0.0004951
53,6659.98,0.97737,0.90299,1.18512,0.82458,0.74929,0.82821,0.59441,1.02175,0.81171,1.19678,0.0004852,0.0004852,0.0004852
