epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1965.17,0.61835,0.60558,1.02106,0.69784,0.52819,0.60692,0.41519,1.16612,1.32526,1.44341,0.0007426,0.0007426,0.0007426
28,2037.93,0.61576,0.60332,1.01712,0.65355,0.55079,0.5971,0.40847,1.17345,1.40573,1.46939,0.0007327,0.0007327,0.0007327
29,2110.47,0.61125,0.59934,1.0177,0.6631,0.54614,0.60271,0.4117,1.21007,1.26589,1.47754,0.0007228,0.0007228,0.0007228
30,2183.04,0.60049,0.58423,1.01023,0.65788,0.55268,0.60198,0.42035,1.18771,1.23571,1.44002,0.0007129,0.0007129,0.0007129
31,2255.83,0.60168,0.58297,1.01,0.69286,0.53837,0.60509,0.42069,1.20499,1.29291,1.47732,0.000703,0.000703,0.000703
32,2328.65,0.59448,0.57735,1.00848,0.71014,0.54075,0.62238,0.43589,1.13258,1.21518,1.45753,0.0006931,0.0006931,0.0006931
33,2401.59,0.58835,0.56883,1.0024,0.68907,0.55176,0.62326,0.43454,1.13118,1.22075,1.41695,0.0006832,0.0006832,0.0006832
34,2474.32,0.58579,0.56532,1.00285,0.70923,0.54431,0.62423,0.43623,1.12584,1.23117,1.39927,0.0006733,0.0006733,0.0006733
35,2547.2,0.58451,0.562,1.00226,0.72823,0.53925,0.62625,0.441,1.15992,1.20243,1.42842,0.0006634,0.0006634,0.0006634
36,2620.15,0.58065,0.56086,1.00058,0.68206,0.57996,0.63193,0.44384,1.20605,1.18091,1.4585,0.0006535,0.0006535,0.0006535
37,2692.96,0.57111,0.54961,0.99635,0.71727,0.55538,0.63509,0.44685,1.12173,1.18048,1.40663,0.0006436,0.0006436,0.0006436
38,2765.73,0.56751,0.54566,0.9943,0.69232,0.56832,0.63218,0.44432,1.09474,1.23845,1.38995,0.0006337,0.0006337,0.0006337
39,2838.63,0.56766,0.54483,0.99412,0.72793,0.54679,0.63175,0.44622,1.10486,1.20906,1.36206,0.0006238,0.0006238,0.0006238
40,2911.28,0.56023,0.53614,0.99169,0.68278,0.58284,0.63629,0.44697,1.13312,1.19875,1.39316,0.0006139,0.0006139,0.0006139
41,2984.09,0.56084,0.53516,0.99042,0.70379,0.56878,0.63986,0.45058,1.11231,1.18304,1.39051,0.000604,0.000604,0.000604
42,3057.02,0.55504,0.53039,0.98805,0.72623,0.5553,0.63894,0.45338,1.09391,1.18342,1.37211,0.0005941,0.0005941,0.0005941
43,3129.84,0.5486,0.52392,0.98633,0.72492,0.56229,0.64064,0.45409,1.1059,1.17383,1.38774,0.0005842,0.0005842,0.0005842
44,3202.63,0.54945,0.52608,0.9879,0.72273,0.57331,0.64835,0.45841,1.11663,1.21539,1.40494,0.0005743,0.0005743,0.0005743
45,3275.42,0.54287,0.51829,0.9859,0.71048,0.57992,0.64811,0.45767,1.10425,1.19712,1.37845,0.0005644,0.0005644,0.0005644
46,3347.96,0.54092,0.51612,0.98181,0.70079,0.58092,0.64977,0.46095,1.09053,1.16166,1.35866,0.0005545,0.0005545,0.0005545
47,3420.76,0.54309,0.51631,0.98169,0.74723,0.56715,0.65009,0.45994,1.07227,1.16288,1.35189,0.0005446,0.0005446,0.0005446
48,3493.54,0.5335,0.50972,0.97797,0.72857,0.57115,0.65169,0.4599,1.07931,1.17762,1.3574,0.0005347,0.0005347,0.0005347
49,3566.2,0.52939,0.50276,0.97699,0.75951,0.55498,0.65259,0.46257,1.07829,1.15456,1.3621,0.0005248,0.0005248,0.0005248
50,3638.92,0.52778,0.499,0.9744,0.7493,0.56199,0.64947,0.46025,1.0882,1.16101,1.38318,0.0005149,0.0005149,0.0005149
51,3711.7,0.52626,0.50191,0.97464,0.72845,0.57671,0.64955,0.46221,1.0821,1.15579,1.37953,0.000505,0.000505,0.000505
52,3784.2,0.52482,0.49763,0.97546,0.73821,0.57519,0.65203,0.46404,1.07569,1.14063,1.37224,0.0004951,0.0004951,0.0004951
53,3856.94,0.51828,0.49362,0.97157,0.72806,0.57538,0.65219,0.46249,1.07476,1.1239,1.3744,0.0004852,0.0004852,0.0004852
54,3929.59,0.51659,0.48707,0.96902,0.71792,0.59171,0.65714,0.46485,1.0767,1.11843,1.37287,0.0004753,0.0004753,0.0004753
55,4002.16,0.51568,0.48892,0.96956,0.72431,0.58373,0.65561,0.46569,1.0709,1.11162,1.36525,0.0004654,0.0004654,0.0004654
56,4074.72,0.51263,0.48438,0.96987,0.71185,0.59292,0.65639,0.46762,1.06172,1.09638,1.35848,0.0004555,0.0004555,0.0004555
57,4147.35,0.51295,0.48516,0.96772,0.75597,0.56885,0.65677,0.46746,1.06104,1.09838,1.35584,0.0004456,0.0004456,0.0004456
58,4219.83,0.50775,0.47915,0.96679,0.72151,0.58642,0.65809,0.46815,1.05945,1.10513,1.35001,0.0004357,0.0004357,0.0004357
59,4292.63,0.50289,0.4719,0.96478,0.74269,0.57719,0.65742,0.46864,1.06107,1.11275,1.34968,0.0004258,0.0004258,0.0004258
60,4365.38,0.50117,0.47344,0.9642,0.73572,0.57866,0.65665,0.4694,1.05992,1.10654,1.34602,0.0004159,0.0004159,0.0004159
61,4438.05,0.49833,0.47036,0.96159,0.7218,0.5887,0.65671,0.46828,1.06146,1.10669,1.34625,0.000406,0.000406,0.000406
62,4510.64,0.4954,0.46781,0.96175,0.72962,0.58191,0.65754,0.46742,1.06065,1.10897,1.34425,0.0003961,0.0003961,0.0003961
63,4583.05,0.49503,0.46404,0.96006,0.75763,0.56876,0.65762,0.46713,1.06137,1.10898,1.34488,0.0003862,0.0003862,0.0003862
64,4655.56,0.49386,0.46168,0.96105,0.75505,0.57005,0.65786,0.46815,1.05913,1.10535,1.34308,0.0003763,0.0003763,0.0003763
65,4727.88,0.48979,0.46258,0.9604,0.75135,0.5694,0.65844,0.46848,1.05797,1.10289,1.34388,0.0003664,0.0003664,0.0003664
66,4800.23,0.48868,0.46281,0.95921,0.75575,0.56602,0.65898,0.46954,1.0555,1.10201,1.33968,0.0003565,0.0003565,0.0003565
67,4872.68,0.48296,0.45404,0.9568,0.75592,0.56718,0.66011,0.47037,1.05487,1.09798,1.34,0.0003466,0.0003466,0.0003466
68,4945.25,0.48155,0.45239,0.95523,0.74733,0.57397,0.66201,0.47059,1.05473,1.09753,1.34073,0.0003367,0.0003367,0.0003367
69,5017.77,0.48313,0.45053,0.95463,0.74504,0.5766,0.66237,0.47132,1.05399,1.09607,1.34034,0.0003268,0.0003268,0.0003268
70,5090.16,0.47893,0.4483,0.95427,0.73913,0.57681,0.66265,0.47206,1.05668,1.09597,1.34561,0.0003169,0.0003169,0.0003169
71,5162.56,0.47689,0.44806,0.95337,0.75651,0.57121,0.66307,0.47263,1.05659,1.09983,1.34588,0.000307,0.000307,0.000307
72,5235.19,0.47419,0.44574,0.95218,0.75163,0.573,0.6646,0.47277,1.05533,1.10199,1.3429,0.0002971,0.0002971,0.0002971
73,5307.64,0.47292,0.44391,0.95332,0.74591,0.57377,0.66483,0.47305,1.0556,1.10234,1.34257,0.0002872,0.0002872,0.0002872
74,5380.1,0.47013,0.44046,0.95053,0.72724,0.58415,0.66494,0.47309,1.05559,1.10358,1.34201,0.0002773,0.0002773,0.0002773
75,5452.45,0.46586,0.43827,0.94948,0.72563,0.5848,0.66526,0.47348,1.05476,1.10431,1.34116,0.0002674,0.0002674,0.0002674
76,5525.02,0.46604,0.43837,0.95073,0.72217,0.59021,0.66602,0.4738,1.0545,1.10435,1.34115,0.0002575,0.0002575,0.0002575
77,5597.46,0.4626,0.435,0.94911,0.72248,0.5915,0.66585,0.47415,1.05455,1.10355,1.34089,0.0002476,0.0002476,0.0002476
78,5670.01,0.46058,0.43394,0.94763,0.71588,0.59741,0.66648,0.47489,1.05418,1.10534,1.33996,0.0002377,0.0002377,0.0002377
79,5742.4,0.45854,0.42871,0.94492,0.71918,0.59618,0.66639,0.47489,1.05414,1.10761,1.33977,0.0002278,0.0002278,0.0002278
80,5814.75,0.45403,0.4255,0.94474,0.72687,0.59273,0.66724,0.47496,1.05414,1.10835,1.33969,0.0002179,0.0002179,0.0002179
81,5887.24,0.4531,0.42403,0.94451,0.72953,0.59213,0.66677,0.47475,1.05374,1.10952,1.3397,0.000208,0.000208,0.000208
82,5959.65,0.45392,0.42216,0.94355,0.72648,0.59253,0.66677,0.47491,1.05311,1.10998,1.33935,0.0001981,0.0001981,0.0001981
83,6032.19,0.45112,0.41937,0.94181,0.7279,0.59503,0.66744,0.47505,1.05279,1.11101,1.33952,0.0001882,0.0001882,0.0001882
84,6104.73,0.44962,0.41807,0.9411,0.72486,0.59596,0.66782,0.47514,1.05246,1.11224,1.33969,0.0001783,0.0001783,0.0001783
85,6177.19,0.44983,0.41604,0.94201,0.72286,0.59666,0.66809,0.47531,1.05143,1.11275,1.33903,0.0001684,0.0001684,0.0001684
86,6249.7,0.44454,0.41464,0.93962,0.72328,0.59649,0.66825,0.47593,1.05078,1.11358,1.33836,0.0001585,0.0001585,0.0001585
