epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,4015.41,0.70902,0.51343,1.03907,0.82451,0.73703,0.80862,0.62992,0.81217,0.70271,1.11122,5.22683e-05,5.22683e-05,5.22683e-05
42,4101.3,0.69189,0.47956,1.0279,0.8348,0.7381,0.80669,0.62924,0.81336,0.70741,1.10934,4.35288e-05,4.35288e-05,4.35288e-05
43,4187.19,0.68354,0.46808,1.02324,0.85316,0.72682,0.80816,0.63175,0.8125,0.7022,1.10839,3.56141e-05,3.56141e-05,3.56141e-05
44,4273.45,0.68204,0.46362,1.0227,0.86519,0.72311,0.80997,0.6328,0.81205,0.70826,1.10629,2.85553e-05,2.85553e-05,2.85553e-05
45,4370.16,0.67431,0.45493,1.01824,0.85213,0.73013,0.80863,0.63229,0.8171,0.71051,1.11069,2.23803e-05,2.23803e-05,2.23803e-05
46,4458.34,0.66677,0.45068,1.01288,0.85846,0.73035,0.80722,0.63044,0.82082,0.71453,1.11399,1.71135e-05,1.71135e-05,1.71135e-05
47,4545.83,0.66495,0.44505,1.01232,0.86362,0.72658,0.80672,0.62945,0.82001,0.71406,1.11474,1.27757e-05,1.27757e-05,1.27757e-05
48,4631.67,0.66145,0.4419,1.00737,0.86323,0.72316,0.80529,0.63,0.81803,0.71296,1.11334,9.38391e-06,9.38391e-06,9.38391e-06
49,4717.4,0.66325,0.44102,1.0088,0.86033,0.7239,0.80615,0.63058,0.81673,0.71243,1.11176,6.95161e-06,6.95161e-06,6.95161e-06
50,4804.25,0.65948,0.43663,1.00803,0.86058,0.72601,0.80738,0.63218,0.81697,0.71271,1.11178,5.48838e-06,5.48838e-06,5.48838e-06
